label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node
0,35.6497354,139.5025299,-0.008379186299478,0.006615552860768,0.01070246191194,0,0,0.000814881508198,0.999998815207144,1.5,1.5,0,0,1,0
1,35.6497319,139.5025735,4.0021757354869,0.373546499671619,-0.223713013914406,0,0,-0.066317500485982,0.997554729577787,1.5,1.5,0,0,1,-1
2,35.6497254,139.5026178,8.05392219835065,0.405121648245898,-0.494387646152478,0,0,-0.021256754074649,0.999613576620246,1.5,1.5,0,0,1,-1
3,35.6497199,139.5026612,12.1009095561976,0.534450423851888,-0.724157136323502,0,0,0.030029232576287,0.999307516545065,1.5,1.5,0,0,1,-1
4,35.6497191,139.5026753,13.218682471413,0.651387222951202,-0.80924961842128,0,0,0.023438737874665,0.99947708197805,1.5,1.5,0,0,1,1
5,35.6497204,139.5026763,13.3149986329591,0.85836730395412,-0.802437112227215,0,0,0.53128502024388,0.846687912322494,1.5,1.5,0,0,1,-1
6,35.649754,139.5026947,14.2089720477384,4.81004309912539,-0.941285149812938,0,0,0.609933308447414,0.791935757445157,1.5,1.5,0,0,1,-1
7,35.6497811,139.5027244,16.3111276945862,8.25034523890272,-1.18605387123242,0,0,0.364327117746283,0.931103993921611,1.5,1.5,0,0,1,-1
8,35.6497904,139.5027666,19.8190506828366,10.1210420683429,-1.42785191090198,0,0,0.113916559018561,0.993255301180913,1.5,1.5,0,0,1,2
9,35.6497904,139.5027668,19.8675786545837,10.1309835041479,-1.42355175759714,0,0,0.117208650364766,0.992942667356569,1.5,1.5,0,0,1,-1
10,35.6497817,139.50281,23.9303507783815,10.0115826172948,-1.66598102521182,0,0,-0.085007390475763,0.996186824170855,1.5,1.5,0,0,1,-1
11,35.6497646,139.5028497,27.7633781352704,8.82829488067958,-1.89950028456193,0,0,-0.222125373933463,0.974729594026431,1.5,1.5,0,0,1,-1
12,35.6497345,139.5028711,30.3668310479215,5.71369165305357,-1.97605186766706,0,0,-0.560930570286905,0.827215414961468,1.5,1.5,0,0,1,-1
13,35.649698,139.5028714,31.2190370507971,1.77324030482992,-1.92658570661802,0,0,-0.715675140832312,0.697408124873383,1.5,1.5,0,0,1,-1
14,35.6496953,139.502871,31.1818999962166,1.44338692409337,-1.95023355356475,0,0,-0.719040228486512,0.693884389165559,1.5,1.5,0,0,1,3
15,35.6496953,139.5028713,31.1717474867599,1.42088524706217,-1.94229416844985,0,0,-0.970284991807906,0.236873758500799,1.5,1.5,0,0,1,-1
16,35.6496952,139.5028699,30.9436892461354,1.32138493254159,-1.92851185525713,0,0,-0.999104307665581,-0.00029286944964,1.5,1.5,0,0,1,-1
17,35.6496955,139.5028684,30.7131723606901,1.39499758211597,-1.88292053410322,0,0,-0.998845002308373,0.001449342213751,1.5,1.5,0,0,1,-1
18,35.6496987,139.5028411,28.248504868519,1.25510693000891,-1.75626213174248,0,0,-0.999087531313789,-0.005259104850512,1.5,1.5,0,0,1,-1
19,35.6497016,139.5028229,26.6628377763534,1.26533869158981,-1.66344104465958,0,0,-0.999235067001734,0.00078116007175,1.5,1.5,0,0,1,-1
20,35.6497021,139.5028182,26.1912430155576,1.27612793764616,-1.60749439161296,0,0,-0.999026290130587,-0.002745299264699,1.5,1.5,0,0,1,-1
21,35.6497045,139.5028042,24.7737006534036,1.20976356723127,-1.55580509089912,0,0,-0.998690067102587,0.023785394746982,1.5,1.5,0,0,1,-1
22,35.6497042,139.5027961,23.9455402870152,1.11491297783263,-1.5602308354163,0,0,-0.998555933595458,-0.026305923585544,1.5,1.5,0,0,1,-1
23,35.6497082,139.5027653,21.2251545515225,0.991683010681188,-1.30957607495707,0,0,-0.999035583361106,0.009681725178086,1.5,1.5,0,0,1,-1
24,35.6497097,139.5027498,19.9074260339894,0.995234051832847,-1.20719607168172,0,0,-0.999022108010246,-0.009285934705699,1.5,1.5,0,0,1,-1
25,35.6497118,139.5027401,18.9312466057074,0.916151645744364,-1.19327878660585,0,0,-0.999077723481691,0.001383480433019,1.5,1.5,0,0,1,-1
26,35.649715,139.5027071,15.8036224464003,0.756014126903098,-0.962191218571176,0,0,-0.998767936504417,-0.003478013193682,1.5,1.5,0,0,1,-1
27,35.6497201,139.5026795,13.4074436247019,0.810361971993246,-0.814611820804397,0,0,-0.998730558483667,-0.023694580381113,1.5,1.5,0,0,1,1
28,35.6497202,139.5026794,13.3922048069226,0.803109116561714,-0.827800735942988,0,0,-0.999052889400447,0.00801597773267,1.5,1.5,0,0,1,-1
29,35.64972,139.5026794,13.3865634916972,0.731108570033527,-0.801767332011541,0,0,-0.855295344568211,0.516367391983338,1.5,1.5,0,0,1,-1
30,35.6496848,139.502669,13.4331872740683,-3.3123261317141,-0.737444671320602,0,0,-0.671773633672483,0.739827696827855,1.5,1.5,0,0,1,-1
31,35.6496508,139.5026628,13.7087252515563,-7.31579539880242,-0.689494122636863,0,0,-0.738804614181033,0.672770093565094,1.5,1.5,0,0,1,-1
32,35.6496245,139.5026544,13.6306490566311,-10.2328980308516,-0.606501509947251,0,0,-0.656866846497055,0.753513334093007,1.5,1.5,0,0,1,7
33,35.6496166,139.5026541,13.8387558724449,-11.3384054167763,-0.610617957917243,0,0,-0.632421911092216,0.773973077923942,1.5,1.5,0,0,1,-1
34,35.6495803,139.5026549,14.8331630372849,-15.2749203485024,-0.570257521521922,0,0,-0.509767222146327,0.859599211733391,1.5,1.5,0,0,1,-1
35,35.6495486,139.5026773,17.519914448442,-18.3269097464961,-0.702499369005279,0,0,-0.29993831030911,0.953541208492217,1.5,1.5,0,0,1,-1
36,35.6495295,139.5027167,21.3596358934931,-19.666562302859,-0.912955249649486,0,0,-0.034059887135596,0.99920572253821,1.5,1.5,0,0,1,-1
37,35.6495245,139.5027425,23.7606952593288,-19.7098904911763,-1.07432339680874,0,0,0.016900727701855,0.99960107631689,1.5,1.5,0,0,1,6
38,35.6495252,139.5027594,25.3921073578296,-19.226169417475,-1.18077294117934,0,0,0.138855592370185,0.990091494869079,1.5,1.5,0,0,1,-1
